Titre;Artiste;Album;Duree_min;Lectures;Minutes_totales;Has_Pochette;Rang_lectures;Rang_minutes;Rang_zscore;Rang_jessye;Artwork_URL;Lien_YouTube;Commentaire
Welcome To The Black Parade;My Chemical Romance;The Black Parade;5.185;25;129.627;Non;83;46;70;93;https://i.discogs.com/GZ2zKabY3VXB4JOXyqotrFnwcMw_GiAfliVEYnJqXJk/rs:fit/g:sm/q:90/h:513/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2Njg3/MTctMTU3NzIwNDg5/NS0yNzE5LmpwZWc.jpeg;https://www.youtube.com/watch?v=RRKJiM9Njr8;
Everybody Knows This Is Nowhere;Neil Young;Everybody Knows This Is Nowhere;2.48;27;66.969;Oui;65;195;110;77;https://i.discogs.com/oxBKXmAb-EmXTYFqufVuUJpUVyiZyQKNBQS1tUVUogY/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0NTc1/NDUtMTQ1NzIzODUx/NC02ODUyLmpwZWc.jpeg;https://www.youtube.com/watch?v=bsZjKQEN1tY;
Daddy;Nourished by Time;Erotic Probiotic 2;4.112;36;148.02;Oui;33;28;31;43;https://i.scdn.co/image/ab67616d0000b273211b4f0d78e4f87dda95c07f;https://www.youtube.com/watch?v=Ad01Q9sKuzA;
Fantasy (Remix) (feat. Mariah Carey);Ol' Dirty Bastard;The Definitive Ol' Dirty Bastard Story [by Hillside];4.837;28;135.436;Oui;63;39;57;75;https://i.discogs.com/piFpOQ6xIyZyAxBkIJzcwMn1r71E1VsbhVDItaJCZjY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwOTQ5/MDctMTM2NjU1Mjk1/OS00NzY0LmpwZWc.jpeg;https://www.youtube.com/watch?v=ic3Dr6jHiEQ;
Got Your Money (feat. Kelis);Ol' Dirty Bastard;Nigga Please;3.997;37;147.895;Oui;28;29;29;38;https://i.discogs.com/apE6Oh0Uyu6EqygC5LZ-nhIRc2MJTBMq83Fsse123Co/rs:fit/g:sm/q:90/h:529/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ4Mzc0/LTE0NTM5MTcwMzQt/OTY2NS5qcGVn.jpeg;https://www.youtube.com/watch?v=XXTzm5GtqVo;
Income Tax;P'tit Belliveau;Greatest Hits Vol.1;4.103;33;135.383;Oui;42;40;44;53;https://f4.bcbits.com/img/a3159537856_10.jpg;https://www.youtube.com/watch?v=Ri0r0_urwo8;
Lucille;Patrick Norman;Country (Grands Succes);3.772;70;263.966;Oui;3;5;3;4;https://i.scdn.co/image/ab67616d0000b273cafa4dab717af6aef98c4570;https://www.youtube.com/watch?v=R62ZVssBGHo;
Gigantic;Pixies;Surfer Rosa;3.917;25;97.902;Non;83;93;94;93;https://i.discogs.com/vsZihKHTuWCz_NvK81__wUxeHA35gAGUO2p2yGB9mBE/rs:fit/g:sm/q:90/h:600/w:594/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMjg5/NjUtMTQzMDA0NzMx/OC03NjEwLmpwZWc.jpeg;https://www.youtube.com/watch?v=2B6qerZlczw;
La réalité me suffit;Ponctuation;La réalité nous suffit;3.749;41;153.691;Oui;19;24;20;26;https://i.discogs.com/WVBq_uRPFsxUszwJYWLmAn9mobUZoSYvIujQobe8i5c/rs:fit/g:sm/q:90/h:579/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY5MTQz/MDgtMTYxMDE0NjE5/NS01ODYyLmpwZWc.jpeg;https://www.youtube.com/watch?v=OQYHcsj-Wmo;
Common People;Pulp;Different Class;5.86;17;99.622;Non;195;89;132;215;https://i.discogs.com/V66E8M0F7B24E1NGSkoVYiYx_6NFNEHtQVi0oh8l2fg/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk5MDcw/MS0xMjc1MzA1MDI3/LmpwZWc.jpeg;https://www.youtube.com/watch?v=yuTMWgOduFM;
Darkness and Cold;Purple Mountains;Purple Mountains;3.972;25;99.309;Oui;83;90;92;93;https://i.discogs.com/EcFFIQwRQ61AgtyC7aI_P1i7gHbAdPx5PERci60qCng/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxOTY5/ODg5LTE2NDM2NTEz/ODctODA2OS5qcGVn.jpeg;https://www.youtube.com/watch?v=JZKMa-ByLBQ;
Je suis down;Rita-Rita;Rita-Rita;3.253;36;117.112;Oui;33;59;40;43;https://f4.bcbits.com/img/a3476736447_5.jpg;https://www.youtube.com/watch?v=X8tSH6InI14;
I Want to Pogne;Rock Et Belles Oreilles;2001 - The Tounes;3.301;29;95.729;Oui;54;97;72;66;https://i.discogs.com/lqD3pXuxmsB5fDF7WLF1_0JizoRtyj7scclb4sHWxs4/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1NTEy/NDAtMTUxNTcyMTEy/NC00MDMzLmpwZWc.jpeg;https://www.youtube.com/watch?v=PouA1P4rOZM;
I'm Just Ken;Ryan Gosling;Barbie: The Album (Best Weekend Ever edition);3.712;27;100.212;Oui;65;86;77;77;https://i.discogs.com/s1s9Sp3D_dEmBRfegxHd_NA_Tqy1OdCmWQxy9G7heR0/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5MjY4/MjgwLTE3MDMxODY0/MTctMTIzMS5qcGVn.jpeg;https://www.youtube.com/watch?v=fo6T5BwxFh0;
Hold On I'm Comin';Sam & Dave;Stax 50th Anniversary Celebration;2.584;28;72.362;Non;63;165;95;75;https://i.discogs.com/53ImwqSv4adt_FTkXAyyPL-zpnGVrSh_aLYZoCXrcMI/rs:fit/g:sm/q:90/h:460/w:458/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc4MTcy/MC0xMzEzMTE0NjM5/LmpwZWc.jpeg;https://www.youtube.com/watch?v=6JElrEbAcwY;
It Wasn't Me;"Shaggy Feat. Ricardo ""RikRok"" Ducent";Now That's What I Call Music 48 - CD 1;3.809;34;129.494;Oui;38;47;43;49;https://i.discogs.com/PNhWPs-CRYX2lKp-1TUG_O66z8OftH7KcgMxwIXfils/rs:fit/g:sm/q:90/h:600/w:586/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU3ODY5/Mi0xNTA1ODY2MDQw/LTIzMDIuanBlZw.jpeg;https://www.youtube.com/watch?v=2g5Hz17C4is;
I'm Just a Kid;Simple Plan;No Pads, No Helmets...Just Balls;3.301;41;135.359;Non;19;41;23;26;https://i.discogs.com/X5axbg6_D9jxo3_p4H9HRvlYucEHZQ1R5KJm63FH-kI/rs:fit/g:sm/q:90/h:510/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5Mzcw/OTMtMTM0OTkwMjU4/Mi0yOTk3LmpwZWc.jpeg;https://www.youtube.com/watch?v=_GOR5gvQwDI;
All Star;Smash Mouth;95's Dance Mix Greatest Hit;3.344;27;90.279;Oui;65;109;87;77;https://i.discogs.com/H9F2_mIlPAux9M_deDT6rXmImtuG3pe8AT_y_p4xYx0/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQyNDA0/OC0xNTYyNjk0ODA2/LTM3MTQuanBlZw.jpeg;https://www.youtube.com/watch?v=L_jWHffIx5E;
